2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
2024-06-01 16:49:16,129 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'coldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcoldcold', 'detailList': []}
