2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
2024-06-01 15:29:07,810 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/incubatorCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号长度不能超过60]'}, Request Data: {'isEnable': 1, 'equipmentModel': 'bwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtestbwxtest', 'detailList': []}
