2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
2024-06-01 13:50:54,999 - utils.requests_util - INFO - URL: http://bswms-uat-01.baheal.com:7777/bp/base/freezerCategory/add, Method: post, Response Code: 200, Response Body: {'code': 10001, 'msg': '参数错误[设备型号不能为空]'}, Request Data: {'isEnable': 1, 'equipmentModel': '', 'detailList': []}
